id,director
1,Christopher Nolan
2,Lana Wachowski
3,Lilly Wachowski
4,Anthony Russo
5,Joe Russo
6,Robert Zemeckis
7,Sergio Leone
8,Bob Persichetti
9,Peter Ramsey
10,Rodney Rothman
11,Roman Polanski
12,Quentin Tarantino
13,Steven Spielberg
14,Martin Scorsese
15,Rajkumar Hirani
16,Guillermo del Toro
17,Lenny Abrahamson
18,Terry Gilliam
19,Terry Jones
20,Harold Ramis
21,Tom Hooper
22,Spike Jonze
23,Paul Thomas Anderson
24,David Fincher
25,Jean-Marc Vallée
26,Stephen Chbosky
27,Alex Garland
28,David O. Russell
29,Neill Blomkamp
30,Duncan Jones
31,Noah Baumbach
32,Nicolas Winding Refn
33,Sang-ho Yeon
34,Brad Bird
35,Nitesh Tiwari
36,Sergio Pablos
37,Carlos Martínez López
38,Clint Eastwood
39,Aamir Khan
40,Amole Gupte
41,John Hughes
42,Pierre Coffin
43,Chris Renaud
44,David Mackenzie
45,Frank Miller
46,Robert Rodriguez
47,Wilson Yip
48,James Marsh
49,Gabriele Muccino
50,Asif Kapadia
51,Edgar Wright
52,Michel Hazanavicius
53,Barry Jenkins
54,Mel Stuart
55,Lasse Hallström
56,Naoko Yamada
57,Peyton Reed
58,James L. Brooks
59,Malik Bendjelloul
60,Sam Mendes
61,Susan Johnson
62,Aaron Sorkin
63,Gabriela Cowperthwaite
64,Vince Gilligan
65,Oriol Paulo
66,Tomm Moore
67,David Ayer
68,Sam Raimi
69,Richard Curtis
70,Stephen Chow
71,Abdellatif Kechiche
72,Alfonso Cuarón
73,David Zucker
74,Jeff Nichols
75,Kelly Fremon Craig
76,Ashutosh Gowariker
77,Eli Craig
78,Fernando Meirelles
79,Edward Zwick
80,Sean Baker
81,Ava DuVernay
82,S.S. Rajamouli
83,Josh Lowell
84,Peter Mortimer
85,Craig Brewer
86,David Yates
87,Galder Gaztelu-Urrutia
88,Bong Joon Ho
89,John Lee Hancock
90,Bryan Fogel
91,David Gelb
92,Tim Burton
93,Mike Johnson
94,Cameron Crowe
95,Armando Iannucci
96,Martin Campbell
97,Mark Herman
98,Phil Johnston
99,Rich Moore
100,Benny Safdie
101,Josh Safdie
102,Mark Osborne
103,James Ponsoldt
104,David Slade
105,Sam Hargrave
106,Yorgos Lanthimos
107,Derek Cianfrance
108,Zoya Akhtar
109,Jeremy Saulnier
110,Jennifer Yuh Nelson
111,Ethan Coen
112,Joel Coen
113,Matt Reeves
114,Chang-dong Lee
115,Byron Howard
116,Chris Williams
117,Hideaki Anno
118,Kazuya Tsurumaki
119,Kevin Smith
120,Ron Clements
121,John Musker
122,Nattawut Poonpiriya
123,Robin Hardy
124,Tom Ford
125,Ted Demme
126,Claude Barras
127,Chris Smith
128,Anurag Basu
129,Sydney Pollack
130,Ron Howard
131,Danny Boyle
132,Ron Underwood
133,Kirk DeMicco
134,Chris Sanders
135,Steven Knight
136,Jay Karas
137,Dee Rees
138,Jay Roach
139,Roland Emmerich
140,Alejandro G. Iñárritu
141,Ruben Östlund
142,Mike Flanagan
143,Gavin O'Connor
144,Tomas Alfredson
145,Robert Eggers
146,Vishal Bhardwaj
147,R. Balki
148,Shekhar Kapur
149,Lana Wilson
150,Marc Forster
151,Jérémy Clapin
152,Grant Sputore
153,Hayao Miyazaki
154,André Øvredal
155,Orlando von Einsiedel
156,Richard LaGravenese
157,David Michôd
158,Nora Twomey
159,Chiwetel Ejiofor
160,Anubhav Sinha
161,John Hillcoat
162,Karan Johar
163,Zach Lipovsky
164,Adam B. Stein
165,Jon Olb
166,Madeleine Parry
167,Barry Levinson
168,Kurt Wimmer
169,Sarah Smith
170,Barry Cook
171,Francis Ford Coppola
172,Evgeny Afineevsky
173,Nahnatchka Khan
174,Neil Jordan
175,Ric Roman Waugh
176,Karyn Kusama
177,J.C. Chandor
178,Adam McKay
179,Shakun Batra
180,Ildikó Enyedi
181,Rob Burnett
182,James Wan
183,Mike Binder
184,Michael Bay
185,Colm McCarthy
186,Susanne Bier
187,Gore Verbinski
188,Scott Cooper
189,Nagraj Manjule
190,Daniel Lindsay
191,T.J. Martin
192,Mike Mills
193,Nikkhil Advani
194,Dan Kwan
195,Daniel Scheinert
196,Sunao Katabuchi
197,David Lowery
198,Paul Greengrass
199,Phillip Noyce
200,Jonathan del Val
201,Andy Tennant
202,Denis Villeneuve
203,Sebastian Jones
204,Ramez Silyan
205,Mike Newell
206,Macon Blair
207,Justin Benson
208,Aaron Moorhead
209,Nora Ephron
210,Louie Psihoyos
211,Babak Anvari
212,Joachim Rønning
213,Espen Sandberg
214,Rob Marshall
215,Paul Katis
216,David Sington
217,Timo Tjahjanto
218,Jean-François Richet
219,Amar Kaushik
220,Steven Bognar
221,Julia Reichert
222,Jeff Chan
223,Gastón Duprat
224,Mariano Cohn
225,Hiroshi Aoyama
226,Kazumi Fukushima
227,Jim Stenstrum
228,Jeff Orlowski
229,Charlie McDowell
230,Len Wiseman
231,Cristi Puiu
232,Eric Darnell
233,Tom McGrath
234,Antonin Baudry
235,Tommy Wirkola
236,Kris Pearn
237,Cory Evans
238,Rob Lodermeier
239,Jeff Margolis
240,Nicholas Stoller
241,John Maclean
242,Chapman Way
243,Maclain Way
244,Richard Shepard
245,Scott Derrickson
246,Sam Dunn
247,Scot McFadyen
248,Morgan Neville
249,Kyle Patrick Alvarez
250,Simon Curtis
251,Henry Joost
252,Ariel Schulman
253,Advait Chandan
254,Tamara Jenkins
255,Adam Nimoy
256,Michael Dowse
257,Tom Shadyac
258,Jacob Kornbluth
259,Antoine Fuqua
260,Stan Lathan
261,Alex Timbers
262,Luis Valdez
263,Michael Mann
264,Mat Whitecross
265,Petra Costa
266,Jonathan Glazer
267,James Lebrecht
268,Nicole Newnham
269,Ed Perkins
270,Raymie Muzquiz
271,Stu Livingston
272,Frank Oz
273,John Irvin
274,Shane Acker
275,Jon Greenhalgh
276,Will Becher
277,Richard Phelan
278,Christian Desmares
279,Franck Ekinci
280,Brian Helgeland
281,Alê Abreu
282,Patrick Brice
283,Jonathan Mostow
284,Jason Todd Ipson
285,Mani Ratnam
286,Louis C.K.
287,Álvaro Brechner
288,Alice Rohrwacher
289,Liz Garbus
290,Alex Lehmann
