id,language
1,English
2,Japanese
3,French
4,Italian
5,Spanish
6,German
7,Russian
8,Hebrew
9,Arabic
10,Nepali
11,Hindi
12,Latin
13,Greek
14,American Sign Language
15,Nyanja
16,Afrikaans
17,Zulu
18,Xhosa
19,Southern Sotho
20,Korean
21,Hawaiian
22,Saami
23,Swedish
24,Cantonese
25,Mandarin
26,Sinhalese
27,Portuguese
28,Japanese Sign Language
29,Irish
30,Awadhi
31,Urdu
32,Telugu
33,Tamil
34,Lingala
35,Persian
36,Kurdish
37,Bengali
38,Thai
39,East-Greenlandic
40,Berber languages
41,Danish
42,Hungarian
43,Turkish
44,Swahili
45,Filipino
46,Yiddish
47,Ukrainian
48,Cheyenne
49,Marathi
50,Norwegian
51,Indonesian
52,Romanian
53,Estonian
54,Vietnamese
55,Polynesian
56,Aboriginal
57,Quechua
58,Khmer
59,Scottish Gaelic
60,Flemish
61,Slovenian
62,Tagalog
63,Georgian
64,Turkmen
65,Catalan
66,Icelandic
67,Tibetan
68,Min Nan
69,Dutch
70,Mapudungun
71,Akan
72,Pushto
73,Basque
74,Polish
75,Chinese
76,Serbo-Croatian
77,Amharic
78,Swiss German
79,Manipuri
80,Finnish
81,Kriolu
82,Aragonese
83,Brazilian Sign Language
84,Dari
85,Wolof
86,Malayalam
87,Serbian
88,Bosnian
89,Croatian
90,Aramaic
91,Punjabi
92,Mongolian
93,Armenian
94,Mohawk
95,Kannada
96,Gujarati
97,Malay
98,Assamese
99,Mixtec
100,Maori
101,Minangkabau
102,Chechen
103,Czech
104,Tarahumara
105,Greenlandic
106,Bhojpuri
107,Sanskrit
108,Tajik
109,Yoruba
110,Ibo
111,Hausa
112,Teochew
113,Esperanto
114,Sign Languages
115,Macedonian
116,Klingon
117,Navajo
118,Somali
119,Lithuanian
120,Australian Sign Language
121,Bemba
122,Welsh
123,Spanish Sign Language
124,Latvian
125,Bulgarian
126,Luxembourgish
127,French Sign Language
128,Albanian
129,None
130,Maya
131,Middle English
132,Cornish
133,Papiamento
134,Tupi
135,Haryanvi
136,Inuktitut
137,Guarani
138,Maltese
139,Hakka
140,Gallegan
141,Shanghainese
142,Rajasthani
143,Scots
144,Ewe
145,Assyrian Neo-Aramaic
146,Sioux
147,Sicilian
148,Creek
149,Kinyarwanda
150,Slovak
151,Haitian
152,Belarusian
153,Kabyle
154,Occitan
155,Low German
156,Kirghiz
157,Fulah
158,Athapascan languages
159,Apache languages
160,Micmac
161,Tatar
162,Lao
163,Kazakh
164,North American Indian
165,Ancient (to 1453)
166,Romany
167,Kudmali
168,Masai
169,Azerbaijani
170,Dyula
171,More
172,Uighur
173,British Sign Language
174,Nushi
175,Acholi
176,Hokkien
177,Nama
178,Algonquin
