movie_id,lang_id
1,1
1,2
1,3
2,1
3,1
4,1
5,4
6,1
6,5
7,1
7,6
7,7
8,1
8,6
8,3
8,4
9,1
9,6
9,8
9,5
9,9
9,10
10,1
10,6
10,3
10,4
11,1
11,5
12,11
12,1
13,5
14,1
15,1
15,3
15,12
16,4
16,1
16,5
17,1
17,6
17,13
17,9
18,1
18,3
18,4
19,1
20,1
21,1
21,14
22,1
22,3
23,1
23,2
24,1
25,1
25,12
26,1
27,1
28,1
28,15
28,16
28,17
28,18
28,19
29,1
29,4
29,12
29,5
29,6
30,1
30,5
31,1
31,5
32,1
32,5
33,20
33,21
34,1
35,11
36,1
36,22
37,1
37,23
38,1
39,11
39,1
40,1
40,6
41,1
42,1
43,1
44,24
44,25
44,2
45,1
45,26
45,11
46,1
46,3
47,1
47,24
48,1
48,27
48,3
48,2
49,1
50,1
50,6
50,3
51,1
51,5
51,3
52,1
52,3
53,1
54,1
55,1
55,3
55,6
55,4
56,1
57,1
57,7
57,3
58,2
58,28
59,1
60,1
61,1
61,5
62,1
63,1
64,1
65,1
66,1
67,1
68,1
68,5
69,1
70,5
71,1
71,29
72,1
72,5
73,1
74,1
75,24
75,25
76,3
76,1
77,5
78,1
79,1
80,1
81,1
82,11
82,1
82,30
82,31
83,1
84,1
84,3
85,1
85,5
85,4
85,12
85,27
85,3
85,6
86,1
86,2
87,1
87,5
87,27
88,1
89,32
89,33
90,1
91,1
92,1
92,34
92,3
93,5
94,1
94,20
94,5
95,1
96,1
97,1
97,7
98,2
99,1
100,1
100,14
101,1
102,1
102,7
102,5
103,1
103,5
104,1
105,1
106,1
107,24
107,25
107,1
108,1
109,1
110,32
110,33
111,1
112,11
112,1
112,31
112,35
112,36
113,1
113,11
113,37
114,1
114,3
114,13
115,1
116,11
116,2
116,5
116,1
117,1
118,1
119,1
119,3
120,1
120,7
121,20
121,1
122,1
123,1
124,2
125,1
126,1
126,3
127,38
127,1
128,1
129,1
129,5
130,1
131,1
132,3
132,1
133,39
133,1
134,11
135,3
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
147,3
148,1
148,9
148,5
148,2
148,40
148,3
148,7
148,28
149,23
149,1
149,41
150,1
151,1
152,11
152,1
153,1
153,7
153,42
153,3
153,43
154,1
155,11
156,11
157,1
157,14
158,1
158,3
159,1
160,1
161,3
162,1
163,2
163,1
163,3
164,1
165,1
165,3
165,44
166,1
166,5
167,45
167,1
168,1
168,46
168,8
169,1
169,3
170,1
171,9
171,15
171,1
172,11
173,1
173,3
174,1
175,11
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,47
184,7
184,1
185,1
186,1
187,1
187,6
188,1
189,1
190,1
190,5
191,1
191,47
192,11
193,42
194,1
195,1
196,1
197,1
198,1
198,25
199,1
199,3
199,6
200,1
201,1
202,1
203,1
203,48
203,3
204,49
205,1
206,1
206,20
207,1
208,11
209,1
210,2
211,1
211,5
212,1
212,9
212,6
213,1
214,1
215,1
216,1
217,1
218,5
219,1
220,1
220,6
220,7
221,1
221,6
221,3
222,1
223,1
224,1
224,3
225,1
226,35
227,1
228,50
228,1
228,3
228,23
229,1
230,1
231,1
232,51
232,1
232,25
232,3
233,1
233,5
234,11
235,1
235,25
236,1
237,1
237,7
237,20
238,1
238,3
239,5
240,1
241,1
242,1
243,1
244,1
245,52
246,1
246,4
247,3
248,1
249,1
250,9
250,1
251,4
252,1
252,3
253,1
254,1
254,6
255,1
256,1
256,3
257,1
258,1
259,1
260,24
260,1
261,1
262,1
263,1
263,5
264,1
265,1
265,3
266,1
267,11
268,1
269,1
269,5
269,9
269,12
270,1
270,20
270,53
271,1
272,1
272,3
273,1
274,1
275,1
275,20
276,1
277,1
278,1
278,5
279,1
280,1
281,27
281,1
282,1
283,1
284,1
285,1
286,1
286,20
287,1
288,1
288,3
289,1
289,3
290,1
291,1
292,1
293,1
294,3
295,1
295,5
296,1
297,27
298,1
299,1
300,1
301,11
302,1
303,5
304,4
304,1
305,1
305,3
306,1
307,1
308,54
308,1
308,2
309,1
310,1
311,1
312,1
312,54
313,1
314,1
315,1
316,32
317,1
318,1
319,11
320,1
320,55
320,5
321,9
322,1
323,1
323,5
323,3
323,52
324,1
325,1
326,1
326,50
327,1
328,1
328,6
329,1
329,5
329,27
330,1
330,6
331,1
332,1
332,5
332,7
333,1
334,1
334,5
335,1
335,11
336,1
337,1
338,1
339,1
339,5
340,1
341,1
341,20
342,1
343,1
343,20
343,3
344,1
345,1
345,5
346,1
346,56
347,5
347,57
347,1
348,1
349,2
350,1
351,58
351,1
351,3
352,25
353,1
353,5
354,1
354,3
355,1
356,
357,1
358,1
358,3
358,59
359,1
360,1
361,1
362,1
363,25
364,1
364,6
364,41
364,25
364,24
365,1
366,1
366,8
366,6
367,5
367,1
368,1
368,3
369,3
369,60
369,1
370,5
370,1
371,11
372,1
372,11
373,1
373,6
373,3
373,12
374,11
374,1
375,11
375,31
376,1
376,12
377,1
378,3
378,1
379,1
379,23
380,1
381,1
382,1
383,1
384,1
384,7
384,52
384,61
385,1
386,1
387,45
387,62
387,1
387,5
388,1
388,27
388,2
389,1
390,1
391,1
392,3
392,1
393,
394,1
395,1
396,5
396,27
396,4
397,1
397,56
398,1
399,1
400,1
401,1
402,1
402,47
403,3
403,1
403,4
403,6
403,46
404,63
405,1
406,11
407,1
407,64
407,24
407,4
407,5
407,47
407,3
408,1
408,6
409,1
410,1
411,1
412,1
412,29
412,3
413,1
413,4
414,1
414,5
414,6
414,7
415,1
416,1
417,1
418,5
418,1
418,65
419,1
420,1
421,1
422,1
422,7
422,5
423,1
423,6
423,3
423,12
424,11
424,1
425,1
426,1
426,25
427,1
428,3
429,1
430,1
430,3
430,42
431,11
431,31
432,1
433,1
434,11
435,11
436,1
437,1
437,43
437,13
437,7
438,1
439,1
439,2
439,6
439,3
440,1
441,1
441,7
442,1
442,35
442,9
443,1
443,12
444,1
445,1
446,11
447,11
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
457,20
457,24
457,5
457,6
457,66
457,4
457,9
458,25
458,24
458,2
459,1
460,1
461,1
462,1
463,1
464,1
464,3
464,67
464,25
464,7
464,11
464,27
464,12
464,4
464,5
465,5
465,11
465,1
465,25
465,3
466,1
466,68
466,25
467,1
468,1
469,1
470,24
470,25
470,1
471,5
471,3
471,69
471,70
472,1
473,1
474,1
475,1
476,1
477,11
478,1
478,71
479,1
480,1
481,1
482,1
483,1
484,1
485,7
486,1
487,11
487,1
487,49
487,33
488,1
489,1
490,1
491,1
492,27
492,1
493,5
493,6
494,1
495,1
496,1
497,11
497,1
498,2
499,1
500,1
501,1
502,1
503,1
504,1
505,1
505,5
506,11
506,1
507,1
507,69
508,1
508,2
509,3
509,1
509,5
509,9
510,1
510,6
510,7
511,1
511,6
512,1
513,1
514,11
515,1
515,7
516,1
517,1
518,1
519,
520,25
520,1
520,7
520,3
520,2
520,20
520,51
520,11
521,1
521,3
522,1
523,1
524,1
525,1
526,31
526,72
527,1
527,7
527,5
528,11
529,1
530,1
531,1
532,1
533,1
533,11
534,73
535,1
536,1
537,11
538,11
538,1
539,1
540,
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,33
549,1
550,1
551,1
552,1
553,1
553,5
554,1
555,1
556,1
557,1
558,1
558,5
559,1
560,1
561,1
562,1
563,1
564,1
564,5
564,9
564,74
564,43
564,7
564,4
564,35
565,11
566,1
567,1
568,1
569,5
569,3
569,1
570,1
570,25
571,1
571,3
572,1
573,
574,2
575,1
576,1
576,5
576,75
576,7
576,27
577,1
577,8
577,9
577,4
578,1
579,5
580,1
581,1
581,3
582,1
583,2
584,1
585,1
586,1
587,1
588,25
588,9
588,1
589,1
590,1
591,1
592,1
592,5
593,1
594,1
595,5
596,1
597,1
598,1
599,9
599,1
599,69
600,1
601,1
602,1
603,11
604,41
605,1
605,4
605,74
605,3
606,11
606,1
606,31
607,1
608,1
609,11
609,1
610,1
611,1
612,45
612,62
613,1
613,3
614,1
615,1
615,76
616,1
616,3
617,4
618,1
619,11
620,1
620,75
621,11
622,1
622,6
623,2
623,1
624,1
625,1
626,11
626,31
627,11
628,1
629,1
630,1
631,1
631,4
631,3
632,25
632,1
633,1
634,1
635,1
635,3
635,4
636,1
636,5
636,23
637,2
638,1
639,1
639,25
640,1
641,1
642,11
642,1
643,1
644,1
645,1
646,1
646,25
647,1
647,65
647,5
648,1
649,1
650,1
650,47
651,1
652,1
652,25
653,1
654,11
654,31
654,1
654,4
655,1
656,43
656,1
657,3
658,1
659,1
660,11
661,1
662,41
662,6
663,11
664,11
665,1
666,1
666,58
667,1
668,32
668,33
668,11
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
678,5
678,27
679,9
680,1
680,3
680,25
680,6
681,11
681,1
682,1
683,1
683,5
684,1
685,1
686,1
687,1
687,25
688,1
689,1
689,77
690,1
691,71
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
698,27
698,5
698,3
699,1
700,1
701,1
702,1
703,11
703,1
703,75
703,5
704,11
705,1
706,1
707,1
708,2
709,24
709,1
709,25
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,
722,1
722,3
723,5
723,3
724,1
725,1
726,1
726,4
727,1
728,1
729,1
730,1
731,1
731,5
732,1
732,20
732,6
733,1
734,1
735,1
736,5
736,1
737,1
737,25
737,78
737,24
737,7
738,1
738,11
738,79
738,18
739,11
740,1
740,9
740,35
741,6
741,1
742,1
742,24
743,11
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
750,7
751,1
752,1
753,1
754,1
755,1
756,1
756,6
756,3
756,23
757,5
758,1
758,75
759,24
759,25
760,1
760,5
761,11
762,9
763,1
764,1
765,1
766,11
767,1
768,1
769,1
770,1
770,5
771,51
772,1
772,20
773,7
773,5
773,80
774,1
774,7
775,5
776,38
777,1
777,6
777,9
777,7
777,3
778,1
779,1
780,1
781,1
782,1
783,5
783,81
783,82
784,1
784,5
785,1
786,3
787,1
787,4
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
795,2
795,5
796,1
797,11
798,1
798,83
799,1
800,11
801,1
802,1
803,9
803,8
803,1
804,11
804,31
805,1
806,1
807,1
808,6
809,1
810,11
810,1
811,20
811,2
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
820,69
821,1
822,1
823,2
824,5
825,1
825,3
825,4
825,7
825,5
826,1
826,27
827,46
827,1
827,5
828,1
829,1
829,84
830,6
831,25
832,1
833,1
834,1
835,11
836,1
837,1
838,11
839,1
840,1
841,2
842,5
843,1
844,1
845,1
845,25
845,5
845,7
846,11
847,1
848,1
849,43
850,43
851,1
852,1
853,1
854,1
855,11
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,11
866,1
867,1
868,1
869,1
870,1
871,11
872,4
872,5
872,6
872,1
873,1
874,1
874,13
875,2
875,1
876,1
876,31
877,25
878,5
878,65
879,1
879,25
879,38
880,1
881,1
881,5
882,49
883,1
884,
885,1
886,2
887,11
887,37
888,11
889,1
890,1
890,9
891,1
892,1
892,51
893,1
894,1
894,3
894,12
895,1
896,1
896,25
896,6
897,1
898,1
899,11
900,2
900,1
901,1
902,11
903,1
903,5
903,6
904,1
905,1
906,1
907,1
908,11
909,1
910,1
911,1
912,1
912,3
913,5
913,1
913,2
913,12
914,11
914,1
915,1
916,
917,20
917,25
918,1
919,1
920,1
921,11
922,1
923,1
924,1
925,5
926,1
926,4
927,1
928,1
929,1
930,11
931,1
931,2
932,1
933,1
934,1
935,1
936,1
937,5
938,85
938,3
938,1
938,9
939,1
940,1
941,1
942,1
943,11
943,33
943,1
943,49
944,2
944,1
945,1
946,33
946,32
946,11
946,1
946,86
946,25
946,3
947,1
948,49
949,1
950,1
951,1
951,72
952,1
953,1
953,3
954,1
955,1
955,47
956,1
957,1
958,11
959,1
960,1
961,1
962,24
962,1
963,
964,1
965,4
966,1
966,5
966,7
966,4
967,1
968,11
969,1
970,1
970,5
971,1
972,1
973,1
973,2
973,75
973,5
974,1
975,1
975,5
976,11
976,1
977,1
977,5
978,1
979,1
980,11
981,1
982,1
982,4
983,1
984,11
984,1
985,11
985,49
985,1
986,1
987,1
988,11
989,1
990,1
991,1
992,
993,1
994,1
994,9
995,45
995,62
996,1
997,1
998,1
999,1
1000,1
1001,3
1001,1
1001,4
1002,1
1003,1
1004,8
1004,1
1004,9
1004,7
1005,1
1005,2
1006,1
1007,1
1007,5
1008,1
1008,2
1009,1
1009,75
1009,5
1009,3
1009,47
1010,5
1011,1
1012,43
1012,3
1013,1
1013,7
1013,87
1013,88
1013,89
1013,74
1014,5
1015,1
1016,1
1017,2
1018,1
1019,1
1020,1
1020,5
1021,1
1021,5
1022,43
1023,1
1024,1
1025,5
1025,1
1026,1
1027,1
1028,1
1029,2
1030,25
1031,1
1032,1
1033,1
1034,1
1035,1
