movie_id,imdb,rotten_tomatoes
1,8.8,87
2,8.7,87
3,8.5,84
4,8.5,96
5,8.8,97
6,8.4,97
7,8.5,95
8,8.4,87
9,8.4,95
10,8.3,89
11,8.3,95
12,8.4,100
13,8.2,95
14,8.1,93
15,8.2,97
16,8.5,95
17,8.2,88
18,8,96
19,8,95
20,8,95
21,8.2,91
22,7.7,96
23,8,93
24,8,86
25,8.1,95
26,7.7,92
27,7.7,92
28,7.9,90
29,7.9,96
30,7.9,90
31,8,95
32,7.8,92
33,7.5,94
34,7.6,94
35,8.4,88
36,8.2,94
37,7.6,90
38,7.9,88
39,8.4,91
40,7.8,80
41,7.6,81
42,7.6,97
43,8,77
44,8,85
45,7.6,85
46,7.7,79
47,8,67
48,8.5,93
49,7.5,81
50,8,83
51,7.8,75
52,7.9,95
53,7.4,98
54,7.8,65
55,7.8,91
56,7.8,90
57,7.8,71
58,8.2,94
59,7.1,94
60,7.5,93
61,7.1,88
62,7.7,85
63,7.4,80
64,8.2,95
65,7.7,81
66,7.2,97
67,7.4,82
68,8.1,98
69,7.4,91
70,8.1,67
71,8.1,99
72,7.6,85
73,7.5,95
74,7.8,68
75,7.7,90
76,7.7,89
77,7.6,92
78,7.6,87
79,7.4,97
80,7.3,94
81,7.7,80
82,8.1,95
83,7.5,85
84,7.2,73
85,7.6,89
86,7.7,66
87,7.6,96
88,8.2,96
89,8.1,88
90,8.1,100
91,7.3,97
92,7.3,89
93,7,82
94,7.3,87
95,7.7,96
96,7.5,79
97,7.9,93
98,7.9,99
99,7.3,84
100,7.3,83
101,7.2,96
102,7.2,78
103,7.8,63
104,7.8,95
105,7.1,88
106,7.4,92
107,7.5,96
108,7.7,93
109,7.1,91
110,8.2,89
111,7.2,92
112,8.1,76
113,6.8,68
114,7.2,87
115,7.4,87
116,8.1,91
117,7,91
118,7.2,81
119,7.3,91
120,7,77
121,7.5,95
122,7.3,74
123,6.8,89
124,8.1,88
125,7.2,87
126,7.1,85
127,7.6,100
128,7.5,89
129,7.6,85
130,7.6,55
131,7.3,92
132,7.8,99
133,7.7,94
134,8.1,86
135,7.5,92
136,7.4,90
137,6.9,70
138,7.2,85
139,7.1,88
140,7.2,71
141,7.1,91
142,8.4,100
143,7.4,99
144,7.4,97
145,7,71
146,7.1,96
147,7.2,61
148,7.4,69
149,8.1,100
150,6.6,90
151,7.5,81
152,8.2,83
153,7.1,83
154,6.9,90
155,8.1,86
156,7.9,100
157,6.6,91
158,7.4,82
159,7.4,93
160,7.3,73
161,7.6,96
162,6.7,90
163,7.7,94
164,6.8,86
165,8.2,100
166,7.5,70
167,7.2,85
168,7,90
169,7.2,70
170,7.7,95
171,7.6,87
172,8.3,89
173,7,79
174,7.3,67
175,7.4,100
176,6.6,82
177,6.7,87
178,8.2,100
179,6.7,82
180,7.5,82
181,7.4,40
182,7.1,92
183,7.2,83
184,8.4,88
185,6.8,89
186,7.2,94
187,7.2,74
188,7.3,69
189,6.6,88
190,7,89
191,6.6,78
192,7.7,100
193,7.6,89
194,7.3,77
195,6.8,66
196,8.2,86
197,6.9,43
198,7,65
199,7.1,67
200,6.6,86
201,6.6,63
202,7.1,71
203,7.2,72
204,8.3,100
205,7.5,74
206,8.2,92
207,7.3,88
208,8,70
209,7,71
210,7.8,97
211,6.9,91
212,7.5,90
213,6.9,72
214,6.5,60
215,6.6,68
216,7.1,100
217,6.9,71
218,7.4,71
219,7.4,100
220,6.1,78
221,7.4,81
222,6.9,88
223,6.5,94
224,7,77
225,7.9,70
226,6.9,99
227,6.4,39
228,7.2,81
229,6.7,79
230,7.1,100
231,7.7,94
232,7,92
233,6.4,89
234,7.6,77
235,7.4,97
236,6.1,79
237,6.4,62
238,7.3,67
239,7.5,100
240,7.8,86
241,8.1,100
242,7.3,92
243,7.1,82
244,7,31
245,7.9,93
246,6.6,64
247,6.9,92
248,6.9,59
249,6.4,90
250,7.5,100
251,7.4,91
252,6.8,35
253,8.2,92
254,6.6,52
255,6.4,72
256,6.9,92
257,6.9,93
258,8,100
259,6.1,83
260,7.1,78
261,6.8,64
262,8.4,90
263,7.4,99
264,6.9,84
265,7,83
266,7.1,80
267,7.9,90
268,7.2,94
269,7,61
270,6.8,46
271,7.6,100
272,6.8,81
273,6.9,48
274,8,90
275,6.5,49
276,8.5,35
277,7.9,100
278,6.9,90
279,7,68
280,7.9,84
281,7.1,97
282,6.6,56
283,6.3,85
284,7.8,100
285,7.6,95
286,7.6,100
287,6.5,65
288,6.8,73
289,6.7,100
290,7.1,57
291,7.7,96
292,7.3,100
293,6.9,97
294,7.3,96
295,6.9,57
296,6.9,61
297,7.6,93
298,6.4,100
299,6.3,69
300,7.7,100
301,7.7,83
302,7.6,100
303,7.6,88
304,7.6,91
305,7.6,89
306,7.3,90
307,6.3,90
308,6.4,41
309,7.1,98
310,6.3,85
311,7.8,86
312,6.6,71
313,8.5,95
314,6.4,73
315,6.8,90
316,7.8,100
317,7,79
318,7.7,92
319,7.8,91
320,7,41
321,7.5,99
322,6.5,80
323,7.1,64
324,6.4,67
325,6.9,53
326,6.8,80
327,7.6,92
328,7.5,70
329,6.4,72
330,7.4,96
331,7.2,89
332,6.6,23
333,7.3,96
334,7.2,100
335,7.5,87
336,7.6,95
337,7.6,93
338,6.2,87
339,8.2,100
340,6.3,89
341,6.5,52
342,8.2,100
343,6.6,59
344,6.9,66
345,6.3,28
346,6.3,85
347,7.4,87
348,6.6,74
349,6.8,89
350,6.7,93
351,7.2,89
352,7.3,100
353,7,50
354,6.7,35
355,6.9,77
356,7.8,100
357,7.3,100
358,6.9,61
359,6.8,36
360,7.4,81
361,7.2,95
362,7.4,94
363,7.4,89
364,6.5,57
365,6.2,88
366,7.2,98
367,7.5,57
368,6.8,69
369,7.2,84
370,6.9,57
371,7.5,86
372,7.5,72
373,6.9,67
374,8.1,
375,7.6,75
376,7.1,83
377,7.2,33
378,7.8,81
379,6.3,71
380,6.6,89
381,6.7,84
382,6.8,85
383,6.9,54
384,6.3,75
385,6.3,71
386,6.6,55
387,7.6,71
388,6.4,33
389,6.9,62
390,7.4,94
391,7.2,100
392,7.2,80
393,7.7,100
394,6.2,50
395,7.3,83
396,7.1,100
397,7,91
398,6.8,40
399,7.3,75
400,7.4,88
401,6.3,86
402,6.4,58
403,7.5,72
404,7.4,100
405,6.2,73
406,7.2,89
